"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"64","1（64）","春风旖旎","陈允升","1820","浙江宁波","清代书画名家","","清代","141x32cm","","花鸟画","","清代书画名家","山水画法梅耦长（庚）、戴怀古（思望），然怀古林峦简澹，极有元人气；耦长脱略凡宗，不名一家。允升具体而微，笔墨气韵似皆不及","主要采用墨色为基调，辅以淡彩，色调温和清新","横向构图","","","","","","","铃印：钱湖渔叟 (朱)","这幅作品在构图上采用了传统的中国画长卷形式，以横向展开的方式，引导观者视线从左至右，逐渐领略画中景致。色彩搭配上，画面整体色调柔和，以淡雅的花卉色彩与沉稳的墨色形成对比，展现出自然的和谐美。线条质量生动流畅，运用了笔墨的多变性塑造了细腻的花瓣与叶片，富有生命力。明暗对比微妙，通过墨色的浓淡变化，赋予画面深度与层次感。整体静中有动，枝叶的摇曳与花朵的盛开展现出春日的生机与活力。","本乐曲的意境宁静而富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现花开叶摇的宁静景象，营造与自然和谐相处的感觉。","雅昌"
"65","1（65）","三友图","郑板桥","1693","江苏兴化","清代文人画家，扬州八怪之一，擅长兰、竹、石题材的画法，自成一格，世称“三绝”。","1753","清代","177×93cm","","花鸟画"," 梅、竹、石","清代文人画派","写意，笔墨简练劲挺，豪放而不失规矩，清刚劲健，富有情趣。","墨色为主，淡彩为辅。","","清幽、豪放，表现了文人的高洁品格和对自然的热爱。","如皴法（披麻皴、斧劈皴）、点苔法等，笔法苍劲，富有表现力。","泼墨、淡墨、浓墨等，墨色变化丰富，层次分明。","纸本设色","矿物颜料、植物染料等","","铃印：郑燮、真心道场","这幅画作以其精细的线条质量和简约而富有韵律的构图，将视觉焦点巧妙地引导至自然元素上。画中的竹与岩石，通过有效利用线条的粗细变化传达出一种生动的动态与姿态，使观者感受到风中的轻柔摆动。象征与图像充满了中国传统文化中高洁与坚韧的意蕴，竹的形象特别具有寓意，象征着坚韧不拔的精神。肌理的运用更是表现出画面中的层次感，从淡墨的竹叶到浓墨的枝干，各具质感，营造出丰富而和谐的视觉效果。整体作品通过细腻而灵动的笔触传达出自然的内在力量和审美哲学。","本乐曲的意境是宁静、冥想的，运用古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓、流畅，表现宁静的山间竹林景象。","雅昌"
"66","1（66）","松鹤图","吕纪","1477年左右","浙江宁波","明代宫廷画家，属于院体画派","约15世纪末至16世纪初","明代","176.5x102.2cm","","花鸟画"," 松树、鹤","明代院体花鸟画派","工笔，兼工带写，设色艳丽，用笔劲挺方，逐步形成自己的风格","墨色、青绿、淡彩等","","清幽、高洁，表现了鹤的长寿和松的坚韧","工笔勾勒，兼工带写，笔法细腻，富有立体感","浓墨勾勒，淡墨渲染","绢本设色","矿物颜料、植物染料","","铃印：四明吕廷振印 (残缺)","这幅画作运用巧妙的构图，将松树与鹤相结合，形成了一种和谐的自然景象。鹤的姿态生动且优雅，一只低首而立，另一只则昂首眺望，展现出动态的平衡。线条流畅纤细，尤其是在鸟羽和松针的描绘中，细致入微，极富质感。画中松树与仙鹤的组合具有强烈的象征意义，暗示着长寿与高洁。整体尺度适宜，仙鹤与松树的比例经过精心安排，在视觉上引导观者的目光游走于其间，营造出和谐美妙的视觉节奏。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现古松林中仙鹤翩翩、自然隽永的静谧景象。","雅昌"
"67","1（67）","芦塘翠鸟","高剑父","1879","广州市番禺南村员岗乡","岭南画派创始人之一，中国传统美术的革新者和中国现代美术的先驱者。","近现代中国画家、美术教育家时期","清代末期至民国时期。","126×42cm","","花鸟画"," 芦塘、翠鸟","岭南画派","兼工带写，笔墨俊爽鲜丽、写实求真的艺术风貌。","墨色、青绿、淡彩等。","","","","","","","","铃印 高剑父皈依记、肖型
收藏印 李乔","这幅画作的构图简洁而富有诗意，通过松散而不失精致的布局引导观者视线在画面中游走。线条质量上，竹叶与芦苇的勾勒既有轻柔飘逸的细线，又有坚实有力的粗线，呈现出极佳的层次感。在动态与姿态方面，翠鸟的微微振翅与芦苇的轻摆动形成了动静结合的对比，使画面生动而富有生命力。色彩搭配则以简练的墨色和淡雅的色调为主，突出主体形象并增加画面的层次和深度。形状方面，各元素通过灵活的弯曲和直立形成和谐的视觉关系，强化了自然的意境美。","本乐曲意境宁静，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现孤鸟栖息于芦苇间的宁静景象，体现大自然的静谧之美。","雅昌"
"68","1（68）","玄石古柯","胡宗仁","","江苏南京","明代画家，画风宗法元人，出入黄公望、倪瓒、王蒙诸家，史载胡宗信画风与乃兄颇相近。","","明代","16×50cm","","花鸟画","","明代花鸟画派","笔意古质，颇有五代以前气象。","","","","","","","","","铃印：胡宗仁印
鉴藏印：陈氏思年、岳雪主人长孙孔昭熙字静收检校金石书画图书之章","这幅画作在构图上呈现出一幅典雅的扇形设计，巧妙地利用空间，中央的扭曲古树是画作的视觉焦点，具备引导观众视线的力量。线条质量精湛，树枝与山石的线条既有力度又不失柔和，体现出细腻的技法和深厚的传统笔墨功底。象征与图像上，这棵古松象征着坚韧和生命力，同时也可能寓意深远的历史记忆。肌理上，笔触留白与墨色浓淡形成对比，赋予画面层次感。尺度与比例方面，古树和背景元素的比例经过精心设计，给人以和谐之感，完美适应扇面的特殊比例。","本乐曲意境宁静致远，宜用古琴、箫等乐器，采用道教禅修音乐风格，节奏舒缓流畅，表现云雾缭绕的山间仙境景象。","雅昌"
"69","1（69）","梅鹊图","沈铨","1682","浙江湖州","清代画家，创“南苹派""花鸟写生画，深受欢迎于日本。","","清代","133×57cm","","花鸟画"," 梅、喜鹊","清代花鸟画派","工写花卉翎毛，设色妍丽，画人物得不传之秘","墨色、青绿、淡彩等。","","","如皴法（披麻皴、斧劈皴）、点苔法等，笔意古质，颇有五代以前气，象。","泼墨、淡墨、浓墨等，墨色变化丰富，层次分明。","纸本设色","矿物颜料、植物染料等","","鉴藏印：犬养木堂藏","这幅画的构图巧妙，以一枝曲折有力的梅树枝干为主体，充分利用画面空间，通过树枝的延展形成一种自然流畅的视觉引导。线条质量极其细腻，梅枝的勾勒既显现了树皮的粗糙质感，又保留了柔和的生命力。色彩搭配上，淡雅的梅花与鸟羽的色彩形成鲜明对比，使得画面充满活力和生机。鸟儿在梅枝上的动态与姿态显得栩栩如生，富有情趣，给人以轻盈灵动的视觉享受。尺度与比例上，画中的元素大小搭配得当，展现出深远的空间层次感，使整幅作品和谐美观，充满诗意。","本乐曲意境宁静，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鸟儿栖息在梅花盛开的树上的宁静春日早晨景象。","雅昌"
"70","1（70）","秋景花鸟","吕纪","1477","浙江宁波","明代画家，为院体花鸟画代表作家之一。","1488年至1505年","明代","182×108cm","","花鸟画","","明代院体花鸟画派","工笔勾勒与水墨写意俱能，设色明丽，气韵生动。","墨色为主，设色明丽。","","清新有致","工笔勾勒与水墨写意俱能","","纸本或绢本","植物颜料、矿物颜料","","铃印：四明吕庭振印
藏印：角茶轩收藏书画印","这幅画作展现出精致的构图艺术，枝叶错落有致地填满画面，使得视线从画左下角顺流而上，最后停留在枝头的鸟儿上，形成自然的视觉流动。色彩搭配上，画面整体基调柔和，以墨绿与赭色为主，花朵的粉色和白色则为画作增添了一丝鲜活和明亮。线条质量优雅流畅，细腻而富有变化，赋予枝干和叶片明显的立体感。动态与姿态的处理上，禽鸟与花叶的互动生动和谐，展现出栩栩如生的自然状态。形状的应用则强调了画面的自然质感，每一片花瓣、每一片羽毛都经过细致描绘，形成整体视觉上的微妙平衡。","这首乐曲的意境是宁静致远的，用古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现一片宁静的森林景象，百鸟栖息在树上，悠然享受着大自然的宁静。","雅昌"
"71","1（71）","玉柱峰","竹禅","1825","重庆市","清代著名书画大师、佛学大师、古琴大师，与""扬州八怪""齐名，居清中晚期书画名家之首","1900","清代","94x45cm","","花鸟画","","清代书画名家","擅长书画、金石雕刻、绘画自成一格，水墨人物、山水、竹石，别成一派，题画诗亦佳，多为禅机佛语。","","","","","","","","","铃印：王子出家、竹禅","这幅画作中的线条质量以其流畅和自如的表现力营造出一种自然的生动感，仿佛笔触本身在纸上跳舞。构图以简约为主，却蕴含一种内在的平衡感，使观者的目光自然流动于画面的关键元素间。明暗对比运用精准，将画面中的层次感有效地表现出来，赋予石峰一种立体感。肌理的变换细腻，纸面的处理与墨色互动，产生丰富的视觉效果。色彩搭配以传统的黑色和淡褐色为主，尽显淡雅素净之美，使整幅画作宁静而和谐。","本乐曲意境幽静，以古琴、箫为乐器，以道教禅定曲风，以舒缓、流畅的节奏，以抽象、动人的笔法，表现幽静、空灵的美感，描绘出一幅神秘的山川景象。","雅昌"
"72","1（72）","古木修篁","张赐宁","1743","河北沧县","清代画家，与罗聘齐名，为南通州判官员。","1801","清代","18×54cm","","花鸟画"," 古木、修篁","清代花鸟画派","工笔勾勒与水墨写意俱能，设色明丽，气韵生动。","墨色为主，设色明丽。","","清新有致。","工笔勾勒与水墨写意俱能。","","","","","印鉴：赐宁","0","此乐曲意境宁静，宜用古琴、箫等乐器，以道教禅定曲风，节奏舒缓流畅，表现山石叠翠、竹木曲折、宁静自然的景象。","雅昌"
"73","1（73）","三友图","陈书","1660","浙江嘉兴","清代画家，秀水画派领军人物。","","清代","111x40cm","","花鸟画","","清代花鸟画派","工笔勾勒与水墨写意俱能，设色明丽，气韵生动。","墨色为主，设色明丽。","","清新有致。","工笔勾勒与水墨写意俱能。","","","","","铃印：南楼老人、书印
鉴藏印：照岩珍藏","这幅画作以精妙的构图展示出岩石、松树和冬笋相互交织，营造出丰富的视觉层次。线条质量极为出色，通过细腻而富有韧性的笔触表现出自然景物的质感和生动感。画面中的象征元素明显，松树代表坚韧和长寿，竹子象征高洁与顽强，冬笋寓意不断生长的生机。明暗对比引导观者目光，展现出主体与背景之间的和谐关系。整幅画作在尺度与比例方面精准无比，山石、松竹、冬笋之间的比例协调，使得画作在视觉上极具平衡与美感。","这首乐曲的意境是宁静安详的，用的是古琴和箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现云雾缭绕的山间仙境。","雅昌"
"74","1（74）","兰竹图","钱善扬","1765","浙江嘉兴","清代画家，与同郡另外三位篆刻家合称“驾湖四山""”","1807","清代","116x46cm","","花鸟画"," 兰竹","清代花鸟画派","书法神似董其昌，画竹石花卉渊源家学，得写生趣，兼善山水。","","","","","","","","","印鉴：善扬、父之印","这幅画通过流畅而富有表现力的线条质量展现出自然的生命力，随意而精准的笔触塑造出兰竹的优雅姿态。构图讲究平衡与对称，中心元素稳健地占据画面，但留有足够的空白以增加视觉呼吸感。画作的动态与姿态仿佛凝固了一瞬之美，竹叶轻舞，兰花则静谧自持，这种对比营造出丰富的视觉节奏。肌理处理细腻自然，墨色的层叠产生深浅不一的质感效果，增强了整体的立体感。明暗对比不显突兀却层次分明，使整个画面既显清雅又富有深度。","本曲意境宁静致远，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现月夜竹林在晚风中摇曳的静谧景象。","雅昌"
"75","1（75）","竹石图","陈岳","","福建晋江","","","","130×51cm","","花鸟画","","","写意","墨色","垂直构图","清幽","","浓墨","绢本","植物染料 (墨)","","印鉴：陈岳、大山","这幅画作在构图上呈现出一种和谐的平衡，简洁而不失丰富。画中的线条精湛，竹子的枝干以流畅、灵动的曲线表现，与韧性和生机形成巧妙对比。竹叶的动态塑造了迎风摇曳的姿态，营造出一种自然的生命力。画面中石头肌理分明，以细腻的笔触展现出坚硬与稳固的质感。这些元素不仅物理上互补，而且作为象征，竹子的柔韧与石头的坚韧相辅相成，形成了一个关于毅力和生命力的视觉隐喻。","此乐曲意境宁静祥和，宜用古琴、箫等乐器，采用道教禅修音乐风格，节奏舒缓流畅，表现宁静的竹林景象。","雅昌"
"76","1（76）","蕉林凤羽","张书旂","1900","浙江浦江","近现代花鸟画","1947","近现代","129×61.5cm","","花鸟画"," 喜鹊登梅","近现代花鸟画","工笔","淡彩","垂直构图","清幽、生动","","淡墨","纸本","植物染料","石质篆书、隶书等","铃印：书旅 (白文)鉴藏印：灏文堂(白文)","画作展现出出色的色彩搭配，无论是翠绿的蕉林还是粉红的花朵，都通过自然柔和的色调相互辉映，营造出和谐的视觉效果。构图上，画面构建了层次分明的景深感，前景和中景的元素交错覆盖，使整体画面显得丰富且具连贯性。动态与姿态的表现力尤为出色，飞翔的鸟儿姿态优雅生动，与静态的植物形成鲜明对比。线条质量流畅且有力，细节之处表现精细。明暗对比处理巧妙，使画中元素更加立体鲜明，富有生命力。","本乐曲的意境是宁静、诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鸟语花香、草木葱茏的园林景象。","雅昌"
"77","1（77）","花荫草虫","马荃","1669","江苏常熟","清代女画家","1707","清代","77.5x39.5cm","","花鸟画","","工笔","工笔","淡彩","垂直构图","清丽润秀，绝无尘俗","","淡墨","纸本","植物染料","","铃印：马荃 (白文)、江香 (朱文)","这幅作品运用了平衡而和谐的构图，精致地安排了花朵、草虫和岩石的布局，充满了自然的韵律。色彩搭配淡雅，主要以水墨为基础，辅以柔和的粉色、蓝色和绿色，营造出宁静而优雅的氛围。线条的质量值得称道，通过细腻且精确的笔触刻画出植物的生动细节，以及昆虫轻盈的触感。动态与姿态方面，植物自然弯曲的姿态和昆虫的轻盈姿势形成微妙的对话，充满了生命的律动。明暗对比柔和，虽然整体色调柔和，却通过对比手法强调了主题元素的层次感，使得该作品在静谧中散发出自然的活力。","本乐曲意境宁静，富有诗意，以古琴、笛子等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现园林中静谧的景象，花开娇艳，柔美自然。","雅昌"
"78","1（78）","树枝双栖","李因","1616","浙江杭州","明末清初著名女诗人、画家","1662","清代","90×40cm","","花鸟画","","","写意","墨色","垂直构图","清幽、生动","","浓墨","纸本","植物染料","石质","铃印：李因之印 (朱文）、今氏生 (白文)","这幅画在构图上展现出一种微妙的平衡，树枝以对角线方式穿插画面，形成内敛而和谐的视觉路径。线条的质量多变，从粗犷的枝干到细腻的梅花，形成强烈的节奏感，同时引导观者的目光在画面中流动。鸟儿的姿态生动，捕捉了它们互动时的瞬间动态，营造出自然界中的生机和韵律。明暗对比通过墨色的浓淡表现，提升了整体的空间感与层次感。枝头梅花与鸟儿象征着生命的脆弱与美好，整体图像寓意深远，富有文化内涵。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现百鸟栖花枝的宁静景象。","雅昌"
"79","1（79）","海棠 红叶双爵 葡萄 蜜桃 江南一枝梅","叶潞渊 陆抑非 张大壮 胡若思 郑慕康","","","","1973、1976","","35.5x22.8cm; 36×22cm;","","花鸟画","","","","","","","","","","","","鉴藏印：朱梅邨藏
铃印：一飞、非翁
鉴藏印：朱梅邨藏、大霖珍藏、吴郡朱氏","这幅作品在构图上展现了独特的多样性与统一性，各元素分布自然平衡，彼此之间在结构上相互呼应。色彩搭配和谐而丰富，以鲜明的红、绿、黄、紫为主，形成强烈的视觉对比，同时又由一些柔和的色调过渡连接，营造出一种视觉上的流畅感。线条质量上细腻流畅，时而刚劲有力、时而柔软婉转，表现出极高的技艺水平。作品中各种植物和动物的图像充满了象征意义，每种植物和动物的描绘不仅仅是自然的再现，更是对生命力和自然循环的歌颂。尺度与比例准确协调，使每一幅作品既独立成章又整体和谐，呈现出传统与创新的完美结合。","本乐曲的意境是诗意宁静的，运用古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鲜花盛开、树枝婀娜、飞鸟栖息等细腻生动的自然元素和谐共存的场景。","雅昌"
"80","1（80）","书画集锦","董其昌","1555","江苏","明代著名书画家","","明代","18×53cmx8","故宫博物院","花鸟画","","明代浙派","写意","墨色","垂直构图","清幽、豪放","披麻皴、斧劈皴、点苔法","浓墨","纸本","植物染料","石质、篆书、隶书等","铃印：董其昌印、陈炜私印","这幅作品展示了一系列精妙的线条质量，笔触流畅而细腻，精准地捕捉了山水与书法的细节之美。构图上，每幅画扇形式的布局紧凑且富有节奏感，引导观者的视线在有限的空间中游走。动态与姿态上，画作透过短暂的笔画流露出自然界的动感与生命力，仿佛每一笔都在诉说一段自然的故事。象征与图像方面，山石、水流与树木不仅是自然景观的再现，更象征着传统文化中的哲学意蕴。尺度与比例被巧妙地处理，尽管画面有限，却传达出辽阔的空间感和深邃的意境。","这首乐曲的意境是宁静而富有诗意的，运用古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现宁静的自然山水和折扇书法的景象。","雅昌"
"81","1（81）","盘龙松","乾隆","1711","","清代皇帝、文人画家","1755","清代","85.8x40.2cm","","花鸟画","","清代文人画","写意","墨色","垂直构图","苍劲、豪放","披麻皴、斧劈皴、点苔法","浓墨","纸本","植物染料","","铃印：乾、隆、含和、洗尽尘氛爽气来","这幅作品的构图在整体上展现出一种强烈的稳定感。树的主体部分居中，但略微向右倾斜，打破了传统对称的僵硬，用细妙的视觉平衡增加了动感。线条质量上，笔触细腻而有力，尤其是在树干和树枝的勾勒中，展现出艺术家的娴熟技法。形状方面，松树的扭曲和盘旋被巧妙地处理成自然的流动曲线，营造出有机的生动形式。在动态与姿态上，树干和枝叶的姿态表现出生命的韧性和力量，仿佛在微风中轻轻摇曳。尽管整幅画作充满细节，但尺度与比例的精准把握，让主体树木与画面空间恰到好处地互动，既不显得局促，也不显空旷。","这首乐曲的意境是宁静、冥想的，应以古琴、箫等乐器，采用中国传统古典音乐风格，以舒缓、流畅的节奏，表现岩石山坡上松树顽强生长的永恒自然景象。","雅昌"
"82","1（82）","秋花公鸡图","齐白石、王梦白","1864","湖南湘潭","近现代中国绘画大师","1927","民国","130×59.5 cm","中国美术馆","花鸟画","","近现代文人画","写意","墨色、淡彩","垂直构图","清幽、生动","生拙质朴","浓墨","纸本","植物染料","石质、篆书、隶书等","铃印：木人（朱）、丰城王云（白）、凌文渊钵（白）、锡濂（白）。","这幅画作展现了绝佳的构图技巧，主体物与背景之间的空间安排巧妙而均衡。色彩搭配上，浓重的黑色与柔和的棕色以及红色的点缀，不仅增强了视觉冲击力，还赋予了作品丰富的层次感。线条质量流畅细腻，尤以动物的羽毛线条最为突出，捕捉了生动的动态与姿态。作品中的象征图像通过精心安排的枝叶和禽鸟，赋予画作一种秋日丰收的寓意，表现了自然界的和谐美。整体呈现出一种宁静与生命力并存的艺术美感。","本乐曲意境诗意盎然，以古筝、笛子等乐器伴奏，采用中国传统古典音乐风格，节奏适中均衡，表现生机勃勃的乡村景象，展现自然之美和生命之美。","雅昌"
"83","1（83）","秋雁图","边景昭","","福建沙县","明代宫廷花鸟画家","1429","明代","128×51cm","中国美术馆","花鸟画","","明代浙派","工笔","设色","散点透视","清幽、生动","工整清丽，笔法细谨","","纸本","植物染料","","铃印：文进之印、景昭","这幅作品的构图富有诗意，整体呈现出一种宁静而谐和的氛围，运用了曲折蜿蜒的线条引导观者的视线。动态与姿态的处理细致入微，飞鸟的俯冲与静止的对比赋予画面生命力。线条质量精湛，细腻而柔韧，展现出艺术家对笔墨的娴熟掌控。色彩搭配上则以淡雅的墨色和浅色晕染为主，体现出古典画作的独特美感。与此同时，肌理呈现自然，给予作品表面丰富的层次，增加了视觉上的触感体验。","本乐曲意境宁静祥和，以箫、古琴、二胡等乐器配合，采用中国传统古典乐风，节奏舒缓流畅，表现田园牧歌般的景象，竹林芦苇间，百鸟静栖、飞翔，人与自然和谐共处的景象。","雅昌"
"84","1（84）","梧桐花开图","陈岳","1953","广东省龙川县","现代","","现代","125×48cm","","花鸟画","","现代文人画","兼工带写","设色","垂直构图","清幽、生动","","","设色绢本","植物染料","","铃印：陈岳、大山。","这幅画作的构图巧妙，运用垂直结构引导观者的视线，从下端到上端逐渐展开。线条质量丰富多变，从粗犷而有力的树干到细腻柔和的花瓣，无不展现出画家的技巧与审美深度。肌理上，运用传统宣纸的自然纹理来增强植物的真实质感，给画面增添了三维感和层次感。色彩搭配方面，采用了墨色为主调与淡雅的花色相互映衬，形成视觉上的和谐，既给人沉稳之感，又不失自然的清新。","此乐曲意境宁静致远，宜用古琴、箫等乐器，采用道教禅修音乐风格，节奏舒缓流畅，表现宁静、云雾缭绕的山间仙境。","雅昌"
"85","1（85）","御笔汉柏图","乾隆","1711","北京","清代皇帝、文人画家","1750","清代","58×29cm","故宫博物院","花鸟画","","清代宫廷画","工笔","墨色","垂直构图","清幽、生动","","","纸本","植物染料","","","这幅画作的构图将主要元素安置于画面中央，赋予观众强烈的视觉重心，营造出一种静谧而庄重的氛围。线条质量精细且富有变化，柔中带刚，既表现出元素的纹理和质感，也展现出其中蕴含的生命力。动态与姿态的处理上，画中的元素呈现出一种自然的生长状态，仿佛在微风中低语，既有稳定的根基又不乏灵动。象征与图像方面，通过对元素形态的刻画，传达出岁月的积淀和顽强的生命力，令人感受到一种超越时空的恒久之力。","这首乐曲的意境是宁静、冥想的，应以古琴、箫等乐器演奏，采用道教的冥想音乐风格，节奏舒缓流畅，表现出一棵古老而睿智的松树在岁月的流逝中顽强地屹立着。","雅昌"
"86","1（86）","铁网珊瑚图","王蒙","1301","浙江吴兴","元代画家","元末明初","元代","140×51cm","","花鸟画","","元代文人画","写意","墨色","垂直构图","清幽、生动","","","纸本","植物染料","","铃印：黄鹤山樵鉴藏印：花暮刘氏家藏、行之清玩之印、两峰秘籍","这幅画作在构图上体现出中轴对称的平衡感，表现出一种静谧而稳重的视觉效果。线条流畅而富有变化，细腻的笔触赋予画面活泼的动感，这种线条质量在表现自然物体和树木皮肤的细节上尤为出色。形状上，石块和树干采用了自然不规则形态，增强了作品的真实感和自然性。肌理通过墨色深浅变化呈现层次丰富的视觉触感，令人感受到画中物体的质感。而透视技巧虽不如西方透视法则精准，但通过前后的层次安排，依旧成功地营造了深度感。","本乐曲意境宁静，诗意盎然。应以古琴、箫为乐，以道家禅修乐风，以舒缓流畅的节奏，表现云雾缭绕的山间宁静景象。古琴的柔和拨弦，可表现山石竹叶的细腻，箫的柔和气息，可表现静谧的禅意。画作整体主题，自然与人性和谐平衡，乐器的静谧交相辉映，古朴隽永之美。","雅昌"
"87","1（87）","幽谷传声","陈遵","","浙江嘉兴","明代画家","1595","明代","143×63.5cm","","花鸟画","","明代浙派","兼工带写","淡彩","垂直构图","清幽、生动","","浓墨、淡墨","纸本","植物染料","石质、篆书、隶书等","铃印：陈遵之印 (白文）、汝循 (白文)","这幅画作展现了精妙的构图，传统的纵向布局引导观者逐渐深入画面的幽谷，其中鸟与树木分布均衡，让目光流连其间。色彩搭配上采用了清雅的自然色调，局部鲜艳的色彩如红色尾羽，为作品注入生命力与活力。线条质量细腻流畅，特别是在鸟羽和树干纹理的刻画上，体现了艺术家的高超技艺。象征与图像方面，鸟的生动表现或许暗示了自然界中难得的宁静动态。动态与姿态则通过鸟的姿势及枝叶的细微摆动，营造出一幅宁静而充满生机的自然景象，仿佛能听见谷中的鸣唱。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鸟儿栖息在树上，环境宁静自然的安详景象。","雅昌"
"88","1（88）","太华峰头玉井莲","赵之谦","1829","浙江绍兴","晚清杰出艺术家","1884","清代","175×45cm","","花鸟画","","清代文人画","兼工带写","墨色、淡彩","垂直构图","清幽、生动","","浓墨、淡墨","设色纸本","植物染料","","铃印：赵之谦印 (白文)收藏印：海昌钱氏数书清草堂珍藏金石书画印 (朱文）、镜塘藏荷 (白文)钱君题笺。铃印：钱君匋 (白文)","这幅作品的构图呈现出一种简约而明朗的布局，通过巧妙的空间分配，将莲花、荷叶和岩石元素协调地排列在画面上。色彩搭配上，青绿与暗色的对比使画面具有鲜明的层次感，使之更具生命力。线条质量方面，细腻流畅的曲线勾勒出荷叶与莲花的柔美，而岩石则通过粗犷有力的笔触表现其坚硬的质感。动态与姿态上，莲花的优雅姿态与岩石的挺立形成对比，营造出静中有动的视觉效果。在尺度与比例的处理上，主体与背景的比例协调，使每个元素在画面中都有足够的表现空间，形成了一幅和谐统一的画面。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现风化岩石旁一朵莲花绽放的宁静景象，象征宁静中的纯洁与坚韧。","雅昌"
"89","1（89）","梅石图","高阳","","浙江宁波","明代画家","万历、崇祯年间","明代","17.2x53.7cm","","花鸟画","","明代浙派","写意","墨色","垂直构图","清幽、生动","笔意纵横，天真烂漫","","纸本","植物染料","","铃印：高阳、秋父","这幅画展现出高超的构图技巧，枝桠在画面上自然地分布，形成和谐的视觉平衡。线条流畅且富有变化，柔中带刚，赋予画面以强烈的生动感。肌理表现出色，岩石和花卉之间的对比增强了画面的立体感。枝干和花朵之间的动态平衡，使得对象仿佛在微风中轻盈摇曳，富有生命力。象征与图像的运用隐含着自然韵律与和谐美，传达出一种宁静和高雅的意境。这些特征共同构成了一幅细腻且富有表现力的作品。","本乐曲意境宁静，诗意盎然。乐曲以古琴、箫为乐器，采用中国传统古典乐风，节奏舒缓流畅，表现梅花盛开、自然环境安宁的静谧景象。乐曲应传达梅花的清雅、古树的永恒之美，唤起人们静观其变、感悟生命短暂的感受。","雅昌"
"90","1（90）","梅石图","高阳","","浙江宁波","明代画家","万历、崇祯年间","明代","16.5×53cm","","花鸟画","","明代浙派","写意","墨色","垂直构图","清幽、生动","笔意纵横，天真烂漫","","纸本","植物染料","","铃印：高阳 (朱文)、秋竹 (白文)","这幅画作在构图上精心布置，利用折扇形的空间限制，将主体元素巧妙安置于画面中心，形成平衡而有趣的视觉效果。线条质量精细且富于变化，从粗犷有力的主干线条到细腻柔韧的枝节描绘，充满生命力。色彩搭配清新雅致，以淡雅的墨色与柔和的颜色相结合，传达出一种宁静与和谐。象征与图像方面，通过对花枝与石块的描绘，蕴含自然的力量与生命的坚韧。肌理效果尤其突出，画面上流露出真实的质感和立体感，给予观者触觉般的体验。","本乐曲意境宁静、诗意，以古琴、箫为乐器，采用中国传统古典乐风，节奏舒缓流畅，表现梅花盛开、山石斑驳的宁静春景，体现大自然的柔美与永恒典雅。","雅昌"
"91","1（91）","清菡瑞章册 绣球录禽","孙诒经 方济 惇亲王 刘麒祥 姚元熺","孙治经(1826-1890)，惇亲王(1840-1891)","孙治经（钱塘）刘麒祥(湖南湘乡）宋祖骏（长州）","","","清代","78.5×28cm","","花鸟画","","","","","","","","","","","","铃印:[跆][终][麒祥]","该画作展现了精妙的构图与色彩搭配，其中每幅小画面在整体构图中起到平衡的作用，形成丰富而和谐的视觉体验。线条质量轻盈而富有表现力，细腻柔和，展现出画家的技艺深厚。在象征与图像上，画中的自然元素如花卉和禽鸟不仅象征着生命的繁盛，也与传统文化中的吉祥寓意相通。动态与姿态上，画中生物姿态自然灵动，仿佛赋予了画面生命力，使观者犹如置身其中，感受到自然之美的魅力。","本乐曲意境宁静，富有诗意。应使用古琴、箫、古筝等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现园林中花开鸟语的宁静景象。乐曲应包含柔和的旋律，以反映画中自然的细腻笔触和淡雅。","雅昌"
